50.87.94.230 - - [05/Feb/2014:17:34:49 -0800] "GET /wp-content/plugins/akismet/readme.txt HTTP/1.1" 404 89 "-" "-" "www.lifelineprc.com"
8.35.201.52 - - [05/Feb/2014:19:14:12 -0800] "GET / HTTP/1.1" 200 4249 "-" "AppEngine-Google; (+http://code.google.com/appengine; appid: s~pagerockdotcom)" "www.lifelineprc.com"
5.10.83.44 - - [05/Feb/2014:19:27:05 -0800] "GET /index.html HTTP/1.1" 404 89 "-" "Mozilla/5.0 (compatible; AhrefsBot/5.0; +http://ahrefs.com/robot/)" "www.lifelineprc.com"
199.30.20.93 - - [05/Feb/2014:19:52:37 -0800] "GET /assets/images/abortion.jpg HTTP/1.1" 404 89 "-" "msnbot-media/1.1 (+http://search.msn.com/msnbot.htm)" "lifelineprc.com"
157.56.229.88 - - [05/Feb/2014:19:59:36 -0800] "GET /robots.txt HTTP/1.1" 404 89 "-" "Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)" "lifelinepregnancyhelp.org"
37.115.112.240 - - [05/Feb/2014:20:09:52 -0800] "GET / HTTP/1.1" 200 4249 "http://psvita.ru/" "Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.2; Win64; x64; SV1; .NET CLR 2.0.50727)" "lifelinepregnancyhelp.org"
192.99.9.164 - - [05/Feb/2014:21:39:32 -0800] "GET / HTTP/1.1" 200 4249 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_8_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/27.0.1453.110 Safari/537.36" "www.lifelineprc.com"
157.56.229.88 - - [05/Feb/2014:22:07:02 -0800] "GET /robots.txt HTTP/1.1" 404 89 "-" "Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)" "www.lifelinepregnancyhelp.org"
180.76.6.36 - - [05/Feb/2014:22:44:18 -0800] "GET /LinnCountyPRC.html HTTP/1.1" 404 89 "-" "Mozilla/5.0 (compatible; Baiduspider/2.0; +http://www.baidu.com/search/spider.html)" "www.lifelineprc.com"
157.55.36.49 - - [06/Feb/2014:00:23:58 -0800] "GET /robots.txt HTTP/1.1" 404 89 "-" "Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)" "www.lifelineprc.com"
180.76.5.18 - - [06/Feb/2014:00:35:55 -0800] "GET /services.php HTTP/1.1" 200 3925 "-" "Mozilla/5.0 (compatible; Baiduspider/2.0; +http://www.baidu.com/search/spider.html)" "www.lifelinepregnancyhelp.org"
