74.205.124.17 - - [02/Mar/2014:16:24:36 -0800] "GET /administrator/index.php HTTP/1.0" 404 73 "-" "-" "lifelinepregnancyhelp.org"
72.35.163.111 - - [02/Mar/2014:16:49:52 -0800] "GET /img/slider/logo.jpg HTTP/1.1" 200 490803 "-" "RocketLITE/3.0 CFNetwork/672.0.8 Darwin/14.0.0" "www.lifelineprc.com"
72.35.163.111 - - [02/Mar/2014:16:51:54 -0800] "GET /img/slider/image1.jpg HTTP/1.1" 200 994823 "-" "RocketLITE/3.0 CFNetwork/672.0.8 Darwin/14.0.0" "www.lifelineprc.com"
72.35.163.111 - - [02/Mar/2014:16:52:10 -0800] "GET /img/slider/image3.jpg HTTP/1.1" 200 577297 "https://www.google.com/" "Mozilla/5.0 (iPhone; U; CPU iPhone OS 7_0_4 like Mac OS X; en-us) AppleWebKit/532.9 (KHTML, like Gecko) Version/4.0.5 Mobile/8B117 Safari/6531.22.7" "www.lifelineprc.com"
66.249.73.169 - - [02/Mar/2014:18:07:42 -0800] "GET /robots.txt HTTP/1.1" 404 89 "-" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)" "www.lifelinepregnancyhelp.org"
80.86.94.7 - - [02/Mar/2014:18:09:52 -0800] "GET /robots.txt HTTP/1.1" 404 89 "-" "Mozilla/5.0 (compatible; WBSearchBot/1.1; +http://www.warebay.com/bot.html)" "lifelinepregnancyhelp.org"
80.86.94.7 - - [02/Mar/2014:18:09:56 -0800] "GET / HTTP/1.1" 200 4249 "-" "Mozilla/5.0 (compatible; WBSearchBot/1.1; +http://www.warebay.com/bot.html)" "www.lifelinepregnancyhelp.org"
80.86.94.7 - - [02/Mar/2014:18:09:58 -0800] "GET /index.php HTTP/1.1" 200 4249 "-" "Mozilla/5.0 (compatible; WBSearchBot/1.1; +http://www.warebay.com/bot.html)" "lifelinepregnancyhelp.org"
80.86.94.7 - - [02/Mar/2014:18:10:14 -0800] "GET /contact.php HTTP/1.1" 200 7477 "-" "Mozilla/5.0 (compatible; WBSearchBot/1.1; +http://www.warebay.com/bot.html)" "lifelinepregnancyhelp.org"
80.86.94.7 - - [02/Mar/2014:18:10:16 -0800] "GET /services.php?service=tests HTTP/1.1" 200 3930 "-" "Mozilla/5.0 (compatible; WBSearchBot/1.1; +http://www.warebay.com/bot.html)" "lifelinepregnancyhelp.org"
193.150.120.33 - - [02/Mar/2014:18:32:16 -0800] "GET / HTTP/1.1" 200 4249 "http://gdebesplatno.ru/" "Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; ru) Opera 8.50" "lifelinepregnancyhelp.org"
66.249.73.240 - - [02/Mar/2014:18:49:55 -0800] "GET /robots.txt HTTP/1.1" 404 89 "-" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)" "www.lifelineprc.com"
65.55.52.97 - - [02/Mar/2014:19:40:03 -0800] "GET /robots.txt HTTP/1.1" 404 89 "-" "Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)" "lifelinepregnancyhelp.org"
