54.245.233.241 - - [16/Mar/2014:20:26:53 -0700] "GET /wordpress/wp-admin/ HTTP/1.1" 404 89 "-" "-" "lifelineprc.com"
184.172.35.154 - - [16/Mar/2014:20:39:25 -0700] "GET /blog/wp-admin/ HTTP/1.1" 404 89 "-" "-" "lifelineprc.com"
37.230.110.17 - - [16/Mar/2014:20:51:50 -0700] "GET /wp-admin/ HTTP/1.1" 404 89 "-" "-" "lifelineprc.com"
85.214.95.233 - - [16/Mar/2014:21:04:10 -0700] "GET /wp/wp-admin/ HTTP/1.1" 404 89 "-" "-" "lifelineprc.com"
31.3.233.120 - - [16/Mar/2014:22:05:01 -0700] "GET / HTTP/1.1" 200 4249 "-" "-" "www.lifelinepregnancyhelp.org"
119.63.196.95 - - [16/Mar/2014:22:06:59 -0700] "GET /img/icons/peer.png HTTP/1.1" 200 81327 "-" "Baiduspider-image+(+http://www.baidu.com/search/spider.htm)" "www.lifelineprc.com"
119.63.196.32 - - [16/Mar/2014:23:40:26 -0700] "GET /img/icons/community.png HTTP/1.1" 200 100285 "-" "Baiduspider-image+(+http://www.baidu.com/search/spider.htm)" "www.lifelineprc.com"
54.80.36.118 - - [16/Mar/2014:23:57:14 -0700] "GET /robots.txt HTTP/1.0" 404 73 "-" "Python-urllib/1.17" "lifelineprc.com"
54.80.36.118 - - [16/Mar/2014:23:57:14 -0700] "GET / HTTP/1.1" 200 4249 "-" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/534.34 (KHTML, like Gecko) Qt/4.8.2" "lifelineprc.com"
54.80.36.118 - - [16/Mar/2014:23:57:14 -0700] "GET /css/bootstrap.css HTTP/1.1" 200 18835 "http://lifelineprc.com/" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/534.34 (KHTML, like Gecko) Qt/4.8.2" "lifelineprc.com"
54.80.36.118 - - [16/Mar/2014:23:57:14 -0700] "GET /css/general.css HTTP/1.1" 200 1239 "http://lifelineprc.com/" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/534.34 (KHTML, like Gecko) Qt/4.8.2" "lifelineprc.com"
54.80.36.118 - - [16/Mar/2014:23:57:14 -0700] "GET /js/form-manager.jquery.js HTTP/1.1" 200 1375 "http://lifelineprc.com/" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/534.34 (KHTML, like Gecko) Qt/4.8.2" "lifelineprc.com"
54.80.36.118 - - [16/Mar/2014:23:57:14 -0700] "GET /js/responsiveslides.min.js HTTP/1.1" 200 1967 "http://lifelineprc.com/" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/534.34 (KHTML, like Gecko) Qt/4.8.2" "lifelineprc.com"
54.80.36.118 - - [16/Mar/2014:23:57:14 -0700] "GET /js/jquery-1.10.1.min.js HTTP/1.1" 200 33357 "http://lifelineprc.com/" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/534.34 (KHTML, like Gecko) Qt/4.8.2" "lifelineprc.com"
54.80.36.118 - - [16/Mar/2014:23:57:16 -0700] "GET /contact.php HTTP/1.1" 200 7477 "-" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/534.34 (KHTML, like Gecko) Qt/4.8.2" "lifelineprc.com"
54.80.36.118 - - [16/Mar/2014:23:57:17 -0700] "GET /index.php HTTP/1.1" 200 4249 "-" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/534.34 (KHTML, like Gecko) Qt/4.8.2" "lifelineprc.com"
54.80.36.118 - - [16/Mar/2014:23:57:18 -0700] "GET /about.php HTTP/1.1" 200 4968 "-" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/534.34 (KHTML, like Gecko) Qt/4.8.2" "lifelineprc.com"
94.153.64.83 - - [17/Mar/2014:00:02:21 -0700] "GET / HTTP/1.1" 200 4249 "http://uchil.net/" "Mozilla/4.0 (compatible; MSIE 6.0; Windows 98; Win 9x 4.90; Creative)" "lifelinepregnancyhelp.org"
94.153.64.83 - - [17/Mar/2014:00:02:22 -0700] "GET / HTTP/1.1" 200 4249 "http://uchil.net/" "Mozilla/4.0 (compatible; MSIE 6.0; Windows 98; Win 9x 4.90; Creative)" "lifelinepregnancyhelp.org"
157.55.33.18 - - [17/Mar/2014:02:00:51 -0700] "GET /robots.txt HTTP/1.1" 404 89 "-" "Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)" "www.lifelinepregnancyhelp.org"
180.76.5.59 - - [17/Mar/2014:02:27:13 -0700] "GET /services.php HTTP/1.1" 200 3925 "-" "Mozilla/5.0 (compatible; Baiduspider/2.0; +http://www.baidu.com/search/spider.html)" "lifelinepregnancyhelp.org"
