50.67.234.213 - - [25/Feb/2014:16:01:44 -0800] "GET / HTTP/1.1" 200 4249 "-" "Mozilla/5.0 (Windows NT 5.1; rv:8.0) Gecko/20100101 Firefox/8.0" "lifelineprc.com"
192.95.29.212 - - [25/Feb/2014:18:37:24 -0800] "GET /robots.txt HTTP/1.1" 404 89 "-" "Mozilla/5.0 (compatible; meanpathbot/1.0; +http://www.meanpath.com/meanpathbot.html)" "lifelineprc.com"
192.95.29.212 - - [25/Feb/2014:18:37:24 -0800] "GET / HTTP/1.1" 200 4249 "-" "Mozilla/5.0 (compatible; meanpathbot/1.0; +http://www.meanpath.com/meanpathbot.html)" "lifelineprc.com"
208.115.113.88 - - [25/Feb/2014:19:04:52 -0800] "GET /robots.txt HTTP/1.1" 404 89 "-" "Mozilla/5.0 (compatible; Ezooms/1.0; help@moz.com)" "lifelineprc.com"
123.125.71.17 - - [25/Feb/2014:21:53:39 -0800] "GET /robots.txt HTTP/1.1" 404 89 "-" "Mozilla/5.0 (compatible; Baiduspider/2.0; +http://www.baidu.com/search/spider.html)" "lifelineprc.com"
94.153.64.133 - - [25/Feb/2014:23:54:14 -0800] "GET / HTTP/1.1" 200 4249 "http://www.kalb.ru/" "Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1; Media Center PC" "lifelinepregnancyhelp.org"
46.118.115.66 - - [26/Feb/2014:00:12:06 -0800] "GET / HTTP/1.1" 200 4249 "http://grand-chlen.ru/" "Mozilla/4.0 (compatible; MSIE 6.0; MSIE 5.5; Windows NT 5.0) Opera 7.02 Bork-edition [en]" "lifelinepregnancyhelp.org"
46.118.115.66 - - [26/Feb/2014:00:12:06 -0800] "GET / HTTP/1.1" 200 4249 "http://grand-chlen.ru/" "Mozilla/4.0 (compatible; MSIE 6.0; MSIE 5.5; Windows NT 5.0) Opera 7.02 Bork-edition [en]" "lifelinepregnancyhelp.org"
46.118.115.66 - - [26/Feb/2014:00:12:07 -0800] "GET / HTTP/1.1" 200 4249 "http://grand-chlen.ru/" "Mozilla/4.0 (compatible; MSIE 6.0; MSIE 5.5; Windows NT 5.0) Opera 7.02 Bork-edition [en]" "lifelinepregnancyhelp.org"
208.115.113.92 - - [26/Feb/2014:00:30:04 -0800] "GET /robots.txt HTTP/1.1" 404 89 "-" "Mozilla/5.0 (compatible; Ezooms/1.0; help@moz.com)" "lifelinepregnancyhelp.org"
157.55.33.81 - - [26/Feb/2014:01:21:05 -0800] "GET /robots.txt HTTP/1.1" 404 89 "-" "Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)" "www.lifelineprc.com"
208.115.113.92 - - [26/Feb/2014:02:11:24 -0800] "GET /index.html HTTP/1.1" 404 89 "-" "Mozilla/5.0 (compatible; Ezooms/1.0; help@moz.com)" "lifelinepregnancyhelp.org"
178.137.82.209 - - [26/Feb/2014:03:56:27 -0800] "GET / HTTP/1.1" 200 4249 "http://crirussian.ru/" "Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; Q312461)" "lifelinepregnancyhelp.org"
178.137.82.209 - - [26/Feb/2014:03:56:28 -0800] "GET / HTTP/1.1" 200 4249 "http://crirussian.ru/" "Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; Q312461)" "lifelinepregnancyhelp.org"
220.181.108.103 - - [26/Feb/2014:03:58:14 -0800] "GET /services.php?service=tests HTTP/1.1" 200 3930 "-" "Mozilla/5.0 (compatible; Baiduspider/2.0; +http://www.baidu.com/search/spider.html)" "lifelinepregnancyhelp.org"
157.55.32.188 - - [26/Feb/2014:04:00:58 -0800] "GET /robots.txt HTTP/1.1" 404 89 "-" "Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)" "www.lifelineprc.com"
157.55.32.188 - - [26/Feb/2014:04:05:17 -0800] "GET /aboutus.html HTTP/1.1" 404 89 "-" "Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)" "www.lifelineprc.com"
193.150.120.33 - - [26/Feb/2014:05:16:26 -0800] "GET / HTTP/1.1" 200 4249 "http://renault.afora.ru/" "Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1; .NET CLR 1.1.4322) NS8/0.9.6" "lifelinepregnancyhelp.org"
193.150.120.33 - - [26/Feb/2014:05:16:28 -0800] "GET / HTTP/1.1" 200 4249 "http://renault.afora.ru/" "Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1; .NET CLR 1.1.4322) NS8/0.9.6" "lifelinepregnancyhelp.org"
193.150.120.33 - - [26/Feb/2014:05:47:09 -0800] "GET / HTTP/1.1" 200 4249 "http://pornoforadult.com/" "Mozilla/4.0 (compatible; MSIE 5.5; Windows 98)" "lifelinepregnancyhelp.org"
193.150.120.33 - - [26/Feb/2014:05:47:09 -0800] "GET / HTTP/1.1" 200 4249 "http://pornoforadult.com/" "Mozilla/4.0 (compatible; MSIE 5.5; Windows 98)" "lifelinepregnancyhelp.org"
193.150.120.33 - - [26/Feb/2014:05:47:11 -0800] "GET / HTTP/1.1" 200 4249 "http://pornoforadult.com/" "Mozilla/4.0 (compatible; MSIE 5.5; Windows 98)" "lifelinepregnancyhelp.org"
77.75.73.17 - - [26/Feb/2014:05:51:44 -0800] "GET /robots.txt HTTP/1.1" 404 89 "-" "Mozilla/5.0 (compatible; SeznamBot/3.2; +http://fulltext.sblog.cz/)" "www.lifelinepregnancyhelp.org"
77.75.73.17 - - [26/Feb/2014:05:51:46 -0800] "GET /stories.php HTTP/1.1" 200 5941 "-" "Mozilla/5.0 (compatible; SeznamBot/3.2; +http://fulltext.sblog.cz/)" "www.lifelinepregnancyhelp.org"
162.210.196.98 - - [26/Feb/2014:06:05:14 -0800] "GET / HTTP/1.0" 200 4249 "-" "Mozilla/5.0 (compatible; MJ12bot/v1.4.4; http://www.majestic12.co.uk/bot.php?+)" "lifelineprc.com"
