208.115.113.88 - - [11/Apr/2014:17:14:07 -0700] "GET /options.html HTTP/1.1" 404 89 "-" "Mozilla/5.0 (compatible; Ezooms/1.0; help@moz.com)" "lifelineprc.com"
180.76.6.134 - - [11/Apr/2014:17:47:38 -0700] "GET /stories.php HTTP/1.1" 200 5941 "-" "Mozilla/5.0 (compatible; Baiduspider/2.0; +http://www.baidu.com/search/spider.html)" "www.lifelineprc.com"
188.49.228.86 - - [11/Apr/2014:19:49:40 -0700] "GET /wp-admin/ HTTP/1.1" 404 89 "-" "Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 7.1; Trident/5.0)" "lifelineprc.com"
188.49.228.86 - - [11/Apr/2014:19:49:41 -0700] "GET /wordpress/wp-admin/ HTTP/1.1" 404 89 "-" "Mozilla/5.0 (Windows NT 6.2; WOW64; rv:16.0.1) Gecko/20121011 Firefox/16.0.1" "lifelineprc.com"
188.49.228.86 - - [11/Apr/2014:19:49:41 -0700] "GET /blog/wp-admin/ HTTP/1.1" 404 89 "-" "Mozilla/5.0 (Windows; U; MSIE 9.0; WIndows NT 9.0; en-US))" "lifelineprc.com"
107.77.64.92 - - [11/Apr/2014:20:06:50 -0700] "GET /css/bootstrap.css HTTP/1.1" 200 18835 "http://lifelinepregnancyhelp.org/" "Mozilla/5.0 (iPhone; CPU iPhone OS 7_0_6 like Mac OS X) AppleWebKit/537.51.1 (KHTML, like Gecko) Version/7.0 Mobile/11B651 Safari/9537.53" "lifelinepregnancyhelp.org"
107.77.64.92 - - [11/Apr/2014:20:06:51 -0700] "GET /js/jquery-1.10.1.min.js HTTP/1.1" 200 93064 "http://lifelinepregnancyhelp.org/" "Mozilla/5.0 (iPhone; CPU iPhone OS 7_0_6 like Mac OS X) AppleWebKit/537.51.1 (KHTML, like Gecko) Version/7.0 Mobile/11B651 Safari/9537.53" "lifelinepregnancyhelp.org"
107.77.64.92 - - [11/Apr/2014:20:06:51 -0700] "GET /js/responsiveslides.min.js HTTP/1.1" 200 1967 "http://lifelinepregnancyhelp.org/" "Mozilla/5.0 (iPhone; CPU iPhone OS 7_0_6 like Mac OS X) AppleWebKit/537.51.1 (KHTML, like Gecko) Version/7.0 Mobile/11B651 Safari/9537.53" "lifelinepregnancyhelp.org"
107.77.64.92 - - [11/Apr/2014:20:06:51 -0700] "GET /img/slider/logo.jpg HTTP/1.1" 200 490803 "http://lifelinepregnancyhelp.org/" "Mozilla/5.0 (iPhone; CPU iPhone OS 7_0_6 like Mac OS X) AppleWebKit/537.51.1 (KHTML, like Gecko) Version/7.0 Mobile/11B651 Safari/9537.53" "lifelinepregnancyhelp.org"
107.77.64.92 - - [11/Apr/2014:20:06:51 -0700] "GET /img/slider/image3.jpg HTTP/1.1" 200 577297 "http://lifelinepregnancyhelp.org/" "Mozilla/5.0 (iPhone; CPU iPhone OS 7_0_6 like Mac OS X) AppleWebKit/537.51.1 (KHTML, like Gecko) Version/7.0 Mobile/11B651 Safari/9537.53" "lifelinepregnancyhelp.org"
107.77.64.92 - - [11/Apr/2014:20:06:51 -0700] "GET /img/slider/image2.jpg HTTP/1.1" 200 691385 "http://lifelinepregnancyhelp.org/" "Mozilla/5.0 (iPhone; CPU iPhone OS 7_0_6 like Mac OS X) AppleWebKit/537.51.1 (KHTML, like Gecko) Version/7.0 Mobile/11B651 Safari/9537.53" "lifelinepregnancyhelp.org"
