65.210.12.60 - - [16/Apr/2014:19:16:16 -0700] "POST /process.php?type=appointment HTTP/1.1" 500 101 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_2) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/34.0.1847.116 Safari/537.36" "www.lifelinepregnancyhelp.org"
65.210.12.60 - - [16/Apr/2014:19:17:16 -0700] "GET /process.php HTTP/1.1" 200 85 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_2) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/34.0.1847.116 Safari/537.36" "www.lifelinepregnancyhelp.org"
65.210.12.60 - - [16/Apr/2014:19:30:09 -0700] "GET /static2 HTTP/1.1" 200 138 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_2) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/34.0.1847.116 Safari/537.36" "lifelinepregnancyhelp.org"
157.55.33.99 - - [16/Apr/2014:20:48:26 -0700] "GET /services.php?service=community HTTP/1.1" 200 73 "-" "Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)" "www.lifelineprc.com"
66.249.70.79 - - [16/Apr/2014:21:49:26 -0700] "GET /css/bootstrap.css HTTP/1.1" 404 89 "-" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)" "www.lifelineprc.com"
107.170.42.248 - - [16/Apr/2014:22:54:37 -0700] "GET /robots.txt HTTP/1.1" 404 89 "-" "Mozilla/5.0 (compatible; spbot/4.0.9; +http://OpenLinkProfiler.org/bot )" "lifelineprc.com"
107.170.42.248 - - [16/Apr/2014:22:54:42 -0700] "GET / HTTP/1.1" 200 1699 "-" "Mozilla/5.0 (compatible; spbot/4.0.9; +http://OpenLinkProfiler.org/bot )" "www.lifelineprc.com"
157.55.33.121 - - [16/Apr/2014:23:03:37 -0700] "GET /robots.txt HTTP/1.1" 404 89 "-" "Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)" "lifelinepregnancyhelp.org"
203.83.248.32 - - [16/Apr/2014:23:12:15 -0700] "GET / HTTP/1.1" 200 1710 "-" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/34.0.1847.116 Safari/537.36" "lifelinepregnancyhelp.org"
203.83.248.32 - - [16/Apr/2014:23:12:15 -0700] "GET /css/app.css HTTP/1.1" 200 1241 "http://lifelinepregnancyhelp.org/" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/34.0.1847.116 Safari/537.36" "lifelinepregnancyhelp.org"
203.83.248.32 - - [16/Apr/2014:23:12:15 -0700] "GET /css/client.css HTTP/1.1" 200 1358 "http://lifelinepregnancyhelp.org/" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/34.0.1847.116 Safari/537.36" "lifelinepregnancyhelp.org"
203.83.248.32 - - [16/Apr/2014:23:12:15 -0700] "GET /css/lifeline.css HTTP/1.1" 200 809 "http://lifelinepregnancyhelp.org/" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/34.0.1847.116 Safari/537.36" "lifelinepregnancyhelp.org"
203.83.248.32 - - [16/Apr/2014:23:12:16 -0700] "GET /css/supporter.css HTTP/1.1" 200 1538 "http://lifelinepregnancyhelp.org/" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/34.0.1847.116 Safari/537.36" "lifelinepregnancyhelp.org"
203.83.248.32 - - [16/Apr/2014:23:12:16 -0700] "GET /js/app.js HTTP/1.1" 200 1098 "http://lifelinepregnancyhelp.org/" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/34.0.1847.116 Safari/537.36" "lifelinepregnancyhelp.org"
203.83.248.32 - - [16/Apr/2014:23:12:16 -0700] "GET /js/lib/jquery/jquery-1.10.1.min.js HTTP/1.1" 200 33357 "http://lifelinepregnancyhelp.org/" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/34.0.1847.116 Safari/537.36" "lifelinepregnancyhelp.org"
