208.115.111.72 - - [24/Jul/2013:18:40:49 -0700] "GET /formen.html HTTP/1.1" 404 89 "-" "Mozilla/5.0 (compatible; Ezooms/1.0; ezooms.bot@gmail.com)" "lifelineprc.com"
178.137.93.32 - - [24/Jul/2013:18:48:15 -0700] "GET / HTTP/1.1" 200 4482 "http://cubochki.com.ua/" "Mozilla/4.0 (compatible; MSIE 6.0; Windows XP)" "lifelineprc.com"
178.137.93.32 - - [24/Jul/2013:18:48:24 -0700] "GET / HTTP/1.1" 200 4482 "http://cubochki.com.ua/" "Mozilla/4.0 (compatible; MSIE 6.0; Windows XP)" "lifelineprc.com"
66.249.73.197 - - [24/Jul/2013:19:05:40 -0700] "GET /robots.txt HTTP/1.1" 404 89 "-" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)" "www.lifelineprc.com"
70.195.9.29 - - [24/Jul/2013:20:16:03 -0700] "GET / HTTP/1.1" 200 2586 "http://www.bing.com/search?q=lifeline+kirksville+mo&src=IE-SearchBox&FORM=IE8SRC" "Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0; .NET CLR 1.1.4322; .NET CLR 2.0.50727; .NET CLR 3.0.4506.2152; .NET CLR 3.5.30729; .NET4.0C)" "lifelineprc.com"
70.195.9.29 - - [24/Jul/2013:20:16:03 -0700] "GET /style.css HTTP/1.1" 200 1636 "http://lifelineprc.com/" "Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0; .NET CLR 1.1.4322; .NET CLR 2.0.50727; .NET CLR 3.0.4506.2152; .NET CLR 3.5.30729; .NET4.0C)" "lifelineprc.com"
70.195.9.29 - - [24/Jul/2013:20:16:03 -0700] "GET /assets/images/homePage.jpg HTTP/1.1" 200 23096 "http://lifelineprc.com/" "Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0; .NET CLR 1.1.4322; .NET CLR 2.0.50727; .NET CLR 3.0.4506.2152; .NET CLR 3.5.30729; .NET4.0C)" "lifelineprc.com"
70.195.9.29 - - [24/Jul/2013:20:16:03 -0700] "GET /assets/psd/LeftNavLayoutPieces/bgcolor.jpg HTTP/1.1" 200 4012 "http://lifelineprc.com/" "Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0; .NET CLR 1.1.4322; .NET CLR 2.0.50727; .NET CLR 3.0.4506.2152; .NET CLR 3.5.30729; .NET4.0C)" "lifelineprc.com"
70.195.9.29 - - [24/Jul/2013:20:16:03 -0700] "GET /assets/psd/LeftNavLayoutPieces/top.jpg HTTP/1.1" 200 43470 "http://lifelineprc.com/" "Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0; .NET CLR 1.1.4322; .NET CLR 2.0.50727; .NET CLR 3.0.4506.2152; .NET CLR 3.5.30729; .NET4.0C)" "lifelineprc.com"
70.195.9.29 - - [24/Jul/2013:20:16:18 -0700] "GET /assets/bodyBG.jpg HTTP/1.1" 200 11603 "http://lifelineprc.com/" "Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0; .NET CLR 1.1.4322; .NET CLR 2.0.50727; .NET CLR 3.0.4506.2152; .NET CLR 3.5.30729; .NET4.0C)" "lifelineprc.com"
70.195.9.29 - - [24/Jul/2013:20:16:29 -0700] "GET /services.html HTTP/1.1" 200 1875 "http://lifelineprc.com/" "Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0; .NET CLR 1.1.4322; .NET CLR 2.0.50727; .NET CLR 3.0.4506.2152; .NET CLR 3.5.30729; .NET4.0C)" "lifelineprc.com"
157.56.92.158 - - [24/Jul/2013:20:41:33 -0700] "GET /robots.txt HTTP/1.1" 404 89 "-" "Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)" "lifelineprc.com"
65.55.215.66 - - [24/Jul/2013:21:04:47 -0700] "GET /robots.txt HTTP/1.1" 404 89 "-" "msnbot-media/1.1 (+http://search.msn.com/msnbot.htm)" "lifelineprc.com"
