92.249.127.111 - - [04/Jul/2013:18:29:59 -0700] "GET / HTTP/1.1" 200 4482 "http://www.video12.ru/" "Mozilla/5.0 (compatible; news bot /2.1)" "lifelineprc.com"
92.249.127.111 - - [04/Jul/2013:18:30:00 -0700] "GET / HTTP/1.1" 200 4482 "http://www.video12.ru/" "Mozilla/5.0 (compatible; news bot /2.1)" "lifelineprc.com"
92.249.127.111 - - [04/Jul/2013:18:30:00 -0700] "GET / HTTP/1.1" 200 4482 "http://www.video12.ru/" "Mozilla/5.0 (compatible; news bot /2.1)" "lifelineprc.com"
208.115.111.72 - - [04/Jul/2013:18:48:00 -0700] "GET /forMen.html HTTP/1.1" 200 3180 "-" "Mozilla/5.0 (compatible; Ezooms/1.0; ezooms.bot@gmail.com)" "lifelineprc.com"
123.151.148.169 - - [04/Jul/2013:19:23:21 -0700] "GET /robots.txt HTTP/1.1" 404 89 "-" "Mozilla/5.0(compatible;Sosospider/2.0;+http://help.soso.com/webspider.htm)" "www.lifelineprc.com"
208.115.113.88 - - [04/Jul/2013:19:49:36 -0700] "GET /robots.txt HTTP/1.1" 404 89 "-" "Mozilla/5.0 (compatible; Ezooms/1.0; ezooms.bot@gmail.com)" "lifelineprc.com"
157.56.92.158 - - [04/Jul/2013:20:30:22 -0700] "GET / HTTP/1.1" 200 2476 "-" "Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)" "www.lifelineprc.com"
199.30.16.7 - - [04/Jul/2013:20:31:47 -0700] "GET /robots.txt HTTP/1.1" 404 89 "-" "msnbot-media/1.1 (+http://search.msn.com/msnbot.htm)" "www.lifelineprc.com"
199.30.16.7 - - [04/Jul/2013:20:31:47 -0700] "GET /assets/images/teenMom.jpg HTTP/1.1" 200 49039 "-" "msnbot-media/1.1 (+http://search.msn.com/msnbot.htm)" "www.lifelineprc.com"
208.115.113.88 - - [04/Jul/2013:20:51:26 -0700] "GET /options.html HTTP/1.1" 200 5481 "-" "Mozilla/5.0 (compatible; Ezooms/1.0; ezooms.bot@gmail.com)" "lifelineprc.com"
106.10.188.24 - - [04/Jul/2013:20:56:58 -0700] "GET / HTTP/1.1" 200 4482 "-" "curl/7.19.7 (x86_64-redhat-linux-gnu) libcurl/7.19.7 NSS/3.14.3.0 zlib/1.2.3 libidn/1.18 libssh2/1.4.2" "lifelinepregnancyhelp.org"
106.10.188.24 - - [04/Jul/2013:20:56:59 -0700] "GET / HTTP/1.1" 200 4482 "-" "curl/7.19.7 (x86_64-redhat-linux-gnu) libcurl/7.19.7 NSS/3.14.3.0 zlib/1.2.3 libidn/1.18 libssh2/1.4.2" "lifelineprc.com"
173.199.114.75 - - [04/Jul/2013:22:48:10 -0700] "GET /purefreedom.html HTTP/1.1" 200 2095 "-" "Mozilla/5.0 (compatible; AhrefsBot/4.0; +http://ahrefs.com/robot/)" "www.lifelineprc.com"
69.58.178.59 - - [04/Jul/2013:23:16:26 -0700] "GET /robots.txt HTTP/1.1" 404 89 "-" "Mozilla/5.0 (X11; Ubuntu; Linux i686; rv:14.0; ips-agent) Gecko/20100101 Firefox/14.0.1" "www.lifelineprc.com"
69.58.178.59 - - [04/Jul/2013:23:16:27 -0700] "GET / HTTP/1.1" 200 4482 "-" "Mozilla/5.0 (X11; Ubuntu; Linux i686; rv:14.0; ips-agent) Gecko/20100101 Firefox/14.0.1" "www.lifelineprc.com"
69.58.178.59 - - [04/Jul/2013:23:16:30 -0700] "GET / HTTP/1.1" 200 4482 "-" "BlackBerry9000/4.6.0.167 Profile/MIDP-2.0 Configuration/CLDC-1.1 VendorID/102 ips-agent" "www.lifelineprc.com"
69.58.178.59 - - [04/Jul/2013:23:16:31 -0700] "GET /services.html HTTP/1.1" 200 2979 "-" "Mozilla/5.0 (X11; Ubuntu; Linux i686; rv:14.0; ips-agent) Gecko/20100101 Firefox/14.0.1" "www.lifelineprc.com"
69.58.178.59 - - [04/Jul/2013:23:16:32 -0700] "GET /index.html HTTP/1.1" 200 4482 "-" "Mozilla/5.0 (X11; Ubuntu; Linux i686; rv:14.0; ips-agent) Gecko/20100101 Firefox/14.0.1" "www.lifelineprc.com"
69.58.178.59 - - [04/Jul/2013:23:16:33 -0700] "GET /options.html HTTP/1.1" 200 5481 "-" "Mozilla/5.0 (X11; Ubuntu; Linux i686; rv:14.0; ips-agent) Gecko/20100101 Firefox/14.0.1" "www.lifelineprc.com"
69.58.178.59 - - [04/Jul/2013:23:16:34 -0700] "GET /symptoms.html HTTP/1.1" 200 3401 "-" "Mozilla/5.0 (X11; Ubuntu; Linux i686; rv:14.0; ips-agent) Gecko/20100101 Firefox/14.0.1" "www.lifelineprc.com"
