66.249.73.207 - - [23/Jun/2013:17:04:58 -0700] "GET /robots.txt HTTP/1.1" 404 89 "-" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)" "www.lifelineprc.com"
131.253.24.55 - - [23/Jun/2013:18:13:26 -0700] "GET /contactus.html HTTP/1.1" 200 3544 "-" "Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 5.1;  SV1;  .NET CLR 1.1.4322;  .NET CLR 2.0.50727;  .NET CLR 3.0.04506.648)" "www.lifelineprc.com"
131.253.24.55 - - [23/Jun/2013:18:13:29 -0700] "GET / HTTP/1.1" 200 2475 "http://www.lifelineprc.com/contactus.html" "Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 5.1;  SV1;  .NET CLR 1.1.4322;  .NET CLR 2.0.50727;  .NET CLR 3.0.04506.648)" "www.lifelineprc.com"
98.184.152.246 - - [23/Jun/2013:18:54:08 -0700] "GET /assets/images/teenMom.jpg HTTP/1.1" 200 49039 "http://www.google.com/search?q=my+teen+girlfriend&source=lnms&tbm=isch&sa=X&ei=jKbHUdzVLIeQ9gSlhYDACQ&ved=0CAcQ_AUoAQ&biw=480&bih=211" "Mozilla/5.0 (iPhone; CPU iPhone OS 6_1_3 like Mac OS X) AppleWebKit/536.26 (KHTML, like Gecko) Version/6.0 Mobile/10B329 Safari/8536.25" "www.lifelineprc.com"
180.76.6.222 - - [23/Jun/2013:19:07:53 -0700] "GET /appointment.php HTTP/1.1" 200 1618 "-" "Mozilla/5.0 (compatible; Baiduspider/2.0; +http://www.baidu.com/search/spider.html)" "www.lifelineprc.com"
180.76.5.142 - - [23/Jun/2013:19:37:52 -0700] "GET /abortion.html HTTP/1.1" 200 3237 "-" "Mozilla/5.0 (compatible; Baiduspider/2.0; +http://www.baidu.com/search/spider.html)" "www.lifelineprc.com"
188.143.234.127 - - [23/Jun/2013:19:49:01 -0700] "POST /process.php HTTP/1.1" 200 88 "http://www.lifelineprc.com/appointment.php" "Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)" "www.lifelineprc.com"
188.143.234.127 - - [23/Jun/2013:19:49:08 -0700] "GET /process.php HTTP/1.1" 200 88 "-" "Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)" "www.lifelineprc.com"
188.143.234.127 - - [23/Jun/2013:19:49:09 -0700] "GET /appointment.php HTTP/1.1" 200 3664 "-" "Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)" "www.lifelineprc.com"
188.143.234.127 - - [23/Jun/2013:19:49:10 -0700] "GET / HTTP/1.1" 200 4482 "-" "Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)" "www.lifelineprc.com"
188.143.234.127 - - [23/Jun/2013:19:49:10 -0700] "GET /index.html HTTP/1.1" 200 4482 "-" "Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)" "www.lifelineprc.com"
